MLS#,LATITUDE,LONGITUDE,SOLD DATE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
9038734,41.8326444,-87.6104733,12/9/15,606 E Woodland Park Ave #302,CHICAGO,IL,60616,96000,2,2,Douglas,,1986,1095,,228
8997654,41.9490472,-87.6442679,12/10/15,3600 N LAKE SHORE Dr #201,CHICAGO,IL,60613,171500,2,2,Lake View,1200,1960,1094,143,765
8964686,41.8701526,-87.6280657,12/15/15,901 S PLYMOUTH Ct #602,Chicago,IL,60605,287000,2,2,Loop,1250,1980,1089,230,495
9054198,41.910966,-87.6267249,12/16/15,1550 N Lake Shore Dr Unit 4E,CHICAGO,IL,60610,188000,1,1,Near North Side,,1960,1088,,646
9071376,41.9981671,-87.7073475,12/16/15,6424 N Albany Ave #3,CHICAGO,IL,60645,183000,2,2,West Ridge,1200,1930,1088,153,150
9077114,41.9536176,-87.7556982,12/16/15,4011 N LEAMINGTON Ave #2,CHICAGO,IL,60641,130000,2,1,Portage Park,850,1934,1088,153,158
9065524,41.8952545,-87.6308802,12/18/15,70 W Huron St #1310,CHICAGO,IL,60654,211000,1,1,Near North Side,650,1985,1086,325,273
9008284,41.9319748,-87.8061637,12/21/15,2843 N Harlem Ave Unit 1E,CHICAGO,IL,60707,106000,1,2,Montclare,,2003,1083,,125
9088618,41.8795264,-87.6524415,12/21/15,1000 W ADAMS St #824,CHICAGO,IL,60607,295000,1,1,Near West Side,900,2001,1083,328,364
9015216,41.9374035,-87.6390678,12/21/15,3033 N SHERIDAN Rd #606,CHICAGO,IL,60657,245000,1,1,Lake View,,1968,1083,,368
9062904,41.8833673,-87.6344614,12/21/15,212 W Washington St #1803,CHICAGO,IL,60606,315000,1,2,Loop,1053,1913,1083,299,648
9078564,42.007512,-87.687122,12/21/15,2228 W Morse Ave Unit 3W,CHICAGO,IL,60645,206000,2,2,West Ridge,1500,2004,1083,137,170
9067056,41.9062326,-87.625621,12/21/15,1300 N Lake Shore Dr Unit 12B,CHICAGO,IL,60610,525000,2,2,Near North Side,1500,1963,1083,350,1102
9064297,41.961697,-87.6816455,12/21/15,2106 W MONTROSE Ave #3,CHICAGO,IL,60618,285000,2,1,Lincoln Square,1300,,1083,219,360
9034182,41.96525,-87.685556,12/23/15,2240 W Wilson Ave Unit 3S,CHICAGO,IL,60625,212000,1,1,Lincoln Square,1000,1928,1081,212,298
8901815,41.9575109,-87.729791,12/29/15,4204 N Keystone Ave Unit 3C,CHICAGO,IL,60641,145000,2,1.5,Irving Park,1200,1979,1075,121,263
8955052,41.8989444,-87.6227945,12/29/15,175 E Delaware Pl #9108,CHICAGO,IL,60611,914375,2,2.5,Near North Side,1752,1969,1075,522,1626
9096102,41.9392324,-87.639705,12/29/15,3150 N SHERIDAN Rd Unit 20B,CHICAGO,IL,60657,227500,2,2,Lake View,1350,1975,1075,169,821
9083991,41.9354312,-87.6622118,12/30/15,2943 N Lincoln Ave #112,CHICAGO,IL,60657,255000,1,1.5,Lake View,900,1995,1074,283,180
9064294,41.8623256,-87.7492106,12/30/15,4998 W 14th St Unit 2A,CICERO,IL,60804,47000,2,1,Cicero,815,1965,1074,58,145
9088475,41.9662708,-87.8385902,12/30/15,8455 W lawrence Ave W Unit 1A,CHICAGO,IL,60656,121000,2,2,O'Hare,1000,1981,1074,121,244
8966810,41.9575109,-87.729791,12/30/15,4208 N KEYSTONE Ave Unit 2F,CHICAGO,IL,60641,152000,2,1.5,Irving Park,1200,1975,1074,127,271
9063871,41.957115,-87.729784,12/31/15,4101 W Berteau Ave #102,CHICAGO,IL,60641,148454,2,1,Irving Park,700,1963,1073,212,219
8933376,41.8622207,-87.6553441,12/31/15,1151 W 14TH Pl #208,Chicago,IL,60608,217500,2,1,Near West Side,900,1920,1073,242,306
9064128,41.810169,-87.597166,12/31/15,4644 S Woodlawn Ave Unit 1N,CHICAGO,IL,60653,149000,2,1.5,Kenwood,1100,2002,1073,135,288
9028319,41.9479739,-87.6437777,1/4/16,3550 N Lake Shore Dr #1222,CHICAGO,IL,60657,176800,1,1,Lake View,,1960,1069,,435
9072979,41.9936859,-87.7996619,1/5/16,6221 N Niagara Ave #307,CHICAGO,IL,60631,118500,2,2,Norwood Park,1000,1972,1068,119,273
9087784,41.9080274,-87.6263891,1/8/16,1400 N Lake Shore Dr Unit 9C,CHICAGO,IL,60610,149000,1,1,Near North Side,,,1065,,457
9009589,41.789105,-87.587201,1/8/16,5832 S Stony Island Ave Unit 13B,CHICAGO,IL,60637,172500,2,2,Hyde Park,1500,1926,1065,115,980
9083116,41.9584649,-87.730518,1/11/16,4239 N Kedvale Ave Unit 3C,CHICAGO,IL,60641,155000,2,1.5,Irving Park,1200,1969,1062,129,280
9039466,41.9703844,-87.7669192,1/11/16,5555 W Edmunds St Unit 3A,Chicago,IL,60630,124500,2,1,Jefferson Park,1000,1969,1062,125,260
9047691,42.0003029,-87.80648,1/13/16,6555 N Harlem Ave Unit 2W,CHICAGO,IL,60631,92000,1,1,Norwood Park,,1972,1060,,185
8487470,42.002325,-87.672929,1/14/16,1701 W Wallen Ave Unit 2B,CHICAGO,IL,60626,55000,1,1,Rogers Park,,1923,1059,,222
