#,systemid.final,systemid.year,chf.LOS.OE,chf.mortality.OE,chf.readmit.rate,chf.count,pneumonia.LOS.OE,pneumonia.mortality.OE,pneumonia.readmit.rate,pneumonia.count,preg.LOS.OE,preg.mortality.OE,preg.readmit.rate,preg.count,stroke.LOS.OE,stroke.mortality.OE,stroke.readmit.rate,stroke.count,vte.LOS.OE,vte.mortality.OE,vte.readmit.rate,vte.count
1,1,1,0.93028204,0.700231708,0,1659,0.868720504,1.172014292,0,1538,1.037022763,0.449278602,0.013952697,11754,0.989817261,0.860723321,0.029387755,1225,0.929275008,0.925908199,0.040934543,25895
2,2,1,1.092768555,0,0.020647445,13561,1.092768555,0,0.020647445,13561,1.092768555,0,0.020647445,13561,0.912542086,1.082181979,0.041430333,8110,0.917154478,0.795323049,0.025225225,2220
3,3,1,0.948890389,0,0.005735976,11855,0.948890389,0,0.005735976,11855,0.948890389,0,0.005735976,11855,0.852953374,1.121800143,0.028609448,4509,0.995311521,0.269171911,0.039583333,1440
4,4,1,1.076042891,0.677547732,0,2036,0.969097545,1.318234371,0,892,0.98843704,1.886094954,0.025751073,2330,0.909003142,0.970370468,0,768,1.037695981,1.029510291,0,20296
5,5,1,0.927910657,1.094190616,0,2179,0.963111263,0.645723671,0,2249,1.074528099,0,0.004376368,2285,0.949444747,0.984623893,0.030991736,1452,0.956981514,0.922169492,0.03821373,18004
6,6,1,0.904735049,1.151749721,0,3734,0.962463185,0.807305911,0,3548,1.12380147,0,0.020408163,3969,0.83443403,1.152578759,0,1380,0.899800885,0.781579543,0,21700
7,7,1,0.979902917,0.812390911,0.016788916,12270,0.979902917,0.812390911,0.016788916,12270,0.979902917,0.812390911,0.016788916,12270,0.986707908,1.011101672,0.019607843,5508,1.005794694,0.780454277,0.031722054,1986
8,8,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
9,9,1,0.916560779,1.040295288,0,1442,1.045604205,0.941033499,0,1416,0.997272237,0,0.010409889,3074,1.000094497,0.858599985,0.004758128,1261,0.911263258,0.884559678,0.010377068,9733
10,10,1,1.144708605,1.489484074,0.014282854,14983,1.116556335,1.279368929,0.014928497,14335,1.110937182,0,0.015602443,18010,1.168052688,1.10848765,0.028119508,5690,1.107520065,0.939737369,0.041938333,23773
11,11,1,0.976935224,0,0.002951787,6098,0.976935224,0,0.002951787,6098,0.976935224,0,0.002951787,6098,0.875078935,0.197199644,0.023668639,1521,0.828809097,0.467187864,0.042364532,1015
12,12,1,1.102660258,2.279712346,0,517,1.161478187,1.292105844,0,479,1.095022618,0,0.015779093,1014,1.178813885,1.283465464,0.0234375,768,1.204323124,1.224977275,0.029453376,7775
13,13,1,1.013592289,0,0.009561305,5334,1.013592289,0,0.009561305,5334,1.013592289,0,0.009561305,5334,1.007919444,0.806217236,0.024740811,4244,0.837085466,0.555960202,0.021548822,1485
14,14,1,1.202872496,1.376570111,0,1883,1.178168569,0.87321967,0,998,0.935641741,0,0.024742268,3880,0.971576791,0.990614884,0.024479804,817,1.094998923,1.179252939,0.043738412,11866
15,15,1,0.946682113,0.563579977,0,4340,0.959731516,0.563714333,0,3284,0.908596595,0.601344317,0.011711503,8624,0.81763925,0.623954641,0,2804,0.958792699,0.603787045,0,43981
16,1,2,0.916495203,0.95594923,0,1964,0.93776516,0.917254519,0,2021,1.000569726,0.801952401,0.012035193,12048,1.041090299,1.053344065,0.016966068,2004,0.949578923,1.004622783,0.035882581,49021
17,2,2,1.126646819,0,0.019473168,13249,1.126646819,0,0.019473168,13249,1.126646819,0,0.019473168,13249,1.000503672,0.915327993,0.050078817,8247,0.848866729,0.785215275,0.039638087,2321
18,3,2,0.954674621,0,0.006299481,11747,0.954674621,0,0.006299481,11747,0.954674621,0,0.006299481,11747,0.858980842,1.109750389,0.028356964,4796,1.044025658,0.949226849,0.043848168,1528
19,4,2,0.992448783,0.96372412,0,2206,1.012093887,1.239792297,0,1032,0.971916663,2.279477375,0.025367156,2247,0.882370292,0.75071266,0,914,0.972566609,0.85928062,0,19903
20,5,2,0.927910657,1.094190616,0,2179,0.963111263,0.645723671,0,2249,1.074528099,0,0.004376368,2285,0.949444747,0.984623893,0.030991736,1452,0.956981514,0.922169492,0.03821373,18004
21,6,2,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
22,7,2,0.960611794,0,0.01491866,13339,0.960611794,0,0.01491866,13339,0.960611794,0,0.01491866,13339,1.002872948,0.819794627,0.030398323,7632,1.006935813,0.671577317,0.020746888,2892
23,8,2,0.96744519,0,0.012121212,2805,0.96744519,0,0.012121212,2805,0.96744519,0,0.012121212,2805,0.725613976,1.276911085,0.023333333,1800,0.820119779,1.178846533,0.015625,768
24,9,2,0.942647104,1.281681581,0,1614,1.150196846,1.620073736,0,1804,0.969736024,2.757477382,0.008557096,3389,1.030274532,0.871366227,0.023809524,1344,0.937937252,0.975245233,0.035240187,10471
25,10,2,1.104998934,0.434071863,0.012800865,22186,1.104998934,0.434071863,0.012800865,22186,1.104998934,0.434071863,0.012800865,22186,1.117624934,1.05606244,0.03848804,10159,1.073510148,0.922925034,0.027889388,4231
26,11,2,0.991974587,0,0.006841877,9208,0.991974587,0,0.006841877,9208,0.991974587,0,0.006841877,9208,1.1030826,0.687810728,0.020217729,3215,0.911138922,0.161796346,0.030405405,1184
27,12,2,1.025286663,1.811940118,0,855,0.978328074,1.035999701,0,590,1.040785108,0,0.010909091,1100,1.279715264,1.3737041,0.020104244,1343,1.19417428,1.33149725,0.042389709,11583
28,13,2,1.010978683,0,0.009956553,5524,1.010978683,0,0.009956553,5524,1.010978683,0,0.009956553,5524,1.001240462,0.676608171,0.021335295,5437,0.863284738,0.72381947,0.016587678,1688
29,14,2,1.092235334,1.051277741,0,2272,1.13604589,0.834516016,0,1322,0.911453692,0,0.018592677,3496,0.890870755,0.717524114,0.024531025,1386,1.072907815,1.159884113,0.046207111,22529
30,15,2,0.958990064,0.649345148,0,3752,0.975864043,0.380048059,0,3209,0.896762045,0.643934408,0.013593064,9343,0.849781628,0.565393686,0.004993758,2403,0.984909098,0.519493384,0.006436851,39771
31,1,3,0.944797962,1.202445171,0.011761993,4336,0.919359407,0.997678065,0.011447811,4455,0.983069332,2.027069589,0.013001253,12768,1.136438129,0.950323816,0.027138158,2432,0.986408922,0.874561702,0.036741605,49018
32,2,3,1.118068197,1.487512408,0.01519985,5329,1.118068197,1.487512408,0.01519985,5329,1.118540306,1.322547692,0.017587164,6482,0.990816834,0.960643265,0.043026005,4230,0.822361999,0.503715874,0.028169014,1136
33,3,3,0.955300921,0.723670113,0.006504923,11376,0.955300921,0.723670113,0.006504923,11376,0.955300921,0.723670113,0.006504923,11376,0.797910324,0.858334276,0.03125,5888,1.005078101,0.374471994,0.014861996,1884
34,4,3,0.971242217,0.846971418,0,1980,0.895470104,1.068454053,0,1074,0.974477489,0,0.020964361,1908,0.809797348,0.949459723,0,906,0.974865266,0.773263765,0,19447
35,5,3,0.913949483,0.559406221,0,1240,0.966833556,0.61470799,0,1019,1.070731075,0,0.006779661,2360,0.976074841,1.109209012,0.030729834,1562,0.985461551,0.982196029,0.035816873,28199
36,6,3,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
37,7,3,0.962081259,0.295050475,0.013310402,13373,0.962081259,0.295050475,0.013310402,13373,0.962081259,0.295050475,0.013310402,13373,0.931645639,0.623643346,0.022776991,7771,1.026620477,1.022317263,0.015647226,2812
38,8,3,0.947683255,0,0.017386723,3796,0.947683255,0,0.017386723,3796,0.947683255,0,0.017386723,3796,0.721792221,1.24691619,0.031578947,3420,0.80970259,0.559334419,0.010695187,1496
39,9,3,0.929712111,1.080737508,0,1134,1.125057067,1.431030646,0,1114,0.984434453,3.396718362,0.008208955,4020,0.962884761,0.909098428,0.013986014,2002,0.949498694,0.963943332,0.037413802,20447
40,10,3,1.099412834,0.829825178,0.012890852,22419,1.099412834,0.829825178,0.012890852,22419,1.098117025,0.822758826,0.012794583,22744,1.157495586,0.998877432,0.032019474,10681,1.084263265,0.845470913,0.027429652,4229
41,11,3,0.969167247,0,0.006124874,10939,0.969167247,0,0.006124874,10939,0.969167247,0,0.006124874,10939,0.834819806,0.375263642,0.009589771,3754,0.857155774,0.405402847,0.016233766,1232
42,12,3,1.095793811,1.623407919,0,434,1.07473164,1.234860975,0,258,1.008250822,0,0.010699588,1215,1.231715835,1.46705148,0.031463748,1462,1.175971799,1.563450154,0.039218968,17925
43,13,3,1.009762212,1.778519855,0.009477856,5803,1.009762212,1.778519855,0.009477856,5803,1.009762212,1.778519855,0.009477856,5803,0.999361202,0.572250918,0.017331023,5770,0.824319594,0.725150462,0.020501139,1756
44,14,3,0.97835576,0.772636838,0.009365688,2349,1.027722184,0.775059885,0.015793252,1393,0.909604645,2.138245253,0.021276596,3384,0.943137465,0.930233592,0.015646259,1470,0.997186403,1.139467184,0.051397495,22433
45,15,3,0.995313916,1.132964646,0,2904,1.029680912,0.706126208,0,2641,0.886219942,0,0.010531221,10730,0.914855622,0.790050226,0.029684601,2156,1.01824355,0.776957864,0.041134505,28735
46,1,4,0.972457691,1.245719759,0.014811386,12963,0.972457691,1.245719759,0.014811386,12963,0.972457691,1.245719759,0.014811386,12963,1.026816292,0.775174232,0.027414176,4049,0.864576773,0.777376098,0.024512535,1795
47,2,4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
48,3,4,0.931378067,0.876144453,0.005065428,7107,0.931378067,0.876144453,0.005065428,7107,0.932380006,0.694515005,0.005651137,7963,0.751214369,0.826038534,0.034418605,4300,1.021097448,0.769988922,0.029490617,1492
49,4,4,1.008242729,1.484873388,0,1599,0.832679742,0.966779155,0,952,0.959154345,2.792735982,0.022279793,1930,0.84266352,1.068929905,0.003690037,813,0.951314707,0.923498611,0.006750422,15999
50,5,4,1.006746564,1.010551901,0.005159071,2326,1.062317852,0.367239163,0.005540166,2166,1.073516601,0,0.005441607,2389,0.873894833,1.03927057,0.02457956,2319,0.954675632,1.08902884,0.037326697,8439
51,6,4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
52,7,4,0.947824845,0,0.017509345,10166,0.947824845,0,0.017509345,10166,0.947824386,0,0.017507623,10167,0.905418045,0.663906692,0.021496417,6001,0.971875078,0.947104905,0.016853933,2136
53,8,4,0.904414718,0,0.017348875,3689,0.904414718,0,0.017348875,3689,0.904414718,0,0.017348875,3689,0.687050742,1.352626785,0.01588729,3336,0.7580744,0.477402244,0.015345269,1564
54,9,4,0.918545476,1.205372788,0.004189944,2148,1.076270911,1.06637025,0.00464636,1937,0.986559373,8.002724127,0.007370361,3799,1.032497964,0.906781155,0.014559068,2404,0.946533608,1.000540621,0.040297447,18289
55,10,4,1.107791004,0.326041321,0.013776999,17130,1.107791004,0.326041321,0.013776999,17130,1.106765752,0.288019006,0.013452197,18733,1.179144541,1.020869901,0.024692875,8140,1.068417022,0.609326677,0.024195766,3637
56,11,4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
57,12,4,1.05393148,1.082182052,0.007476636,1070,1.089337601,4.908822824,0.008,1000,1.015398351,0,0.013061224,1225,1.199043141,1.271670006,0.02553916,1762,1.258998386,1.535631988,0.040172448,5103
58,13,4,1.011233319,0,0.011345219,2468,1.011233319,0,0.011345219,2468,1.015969944,0,0.011768662,2974,0.933288941,0.542932474,0.019839756,2621,0.788115549,0.594001458,0.009090909,880
59,14,4,0.931885603,0,0.015692308,3250,0.931885603,0,0.015692308,3250,0.931885603,0,0.015692308,3250,0.932127162,1.217745526,0.018084066,2046,0.955237644,0.371469787,0.018669778,857
60,15,4,0.993931784,1.128777373,0,3930,1.029440825,0.734301154,0,3350,0.894801772,0.445080593,0.011367642,11348,0.907982891,0.750742686,0.041011236,3560,0.938857424,0.733924644,0.043420779,52947
61,1,5,0.986659701,0,0.012444925,12937,0.986659701,0,0.012444925,12937,0.986659701,0,0.012444925,12937,0.988721726,0.884581077,0.022246143,5574,0.874145036,1.292571137,0.045,2400
62,2,5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
63,3,5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
64,4,5,1.042007041,0.946344552,0,1090,0.96238733,1.642011738,0,717,1.005612314,0,0.028078818,2030,0.855870486,1.119330742,0.035294118,595,1.024146445,0.998070749,0.04651365,11502
65,5,5,1.09202847,0,0.005450734,2385,1.09202847,0,0.005450734,2385,1.09202847,0,0.005450734,2385,0.873172377,0.909858077,0.030916553,3655,0.881637038,1.116451649,0.006980803,1146
66,6,5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
